island_code,map_name,genre
4586-5950-5525,🔍 Egg Hunt 4 🥚100+ Eggs 🐰,prop-hunt
9525-2043-3889,Drive Thru Prop Hunt 🍟,prop-hunt
9840-4694-1648,FNAF 2 Prop Hunt,prop-hunt
0992-9699-5281,SUPERMARKET PROP HUNT 🛒 hide and seek,prop-hunt
2977-5695-7180,MINI HIDE AND SEEK 👀[PROP HUNT],prop-hunt
6254-5621-3460,MEGA MALL PROP HUNT🛍️,prop-hunt
3808-8348-4233,🐱HYPER CAT LIFE🐈,prop-hunt
1245-9511-3686,Supermarket Prop Hunt 🛒 Shop Mall,prop-hunt
5159-2109-9570,FORTSHOP PROP HUNT 🛒,prop-hunt
3875-0943-4308,EURO STADIUM PROP HUNT 🏟️ HIDE AND SEEK,prop-hunt
8035-7345-6759,YPF: FULL Prop Hunt,prop-hunt
0358-3267-8802,Home Alone - Prop Hunt,prop-hunt
7223-4168-0507,Playtime Prop Hunt 🎈 Huggy,prop-hunt
6344-4996-9197,MEGA MALL PROP HUNT SUPERMARKET HIDE,prop-hunt
5512-6448-1748,CAT LIFE,prop-hunt
1987-1554-5873,Family Guy 2 - Prop Hunt🏠,prop-hunt
5661-1685-7933,❄️ CHRISTMAS ONE SHOT 🎯 GUN GAME 🔫,gun-game
3137-8548-6360,gun game 🔫 new concept,gun-game
1128-5504-3888,😎 GUN GAME 🔫 SUMMER ONE SHOT,gun-game
7488-2420-9967,ATOM CITY GUN GAME NUKE 🔫,gun-game
3344-7722-2804,⭐️ STAR GUN GAME 🔫 ONE SHOT BOTS,gun-game
5077-0783-0649,AUTUMN GUN GAME 🍂 ONE SHOT FFA 💀 BOT,gun-game
9524-8400-1768,TILTED GUN GAME ONE SHOT 🔫,gun-game
5915-0376-2355,Super Tomato Gun Game 🎯 One Shot Bots,gun-game
8222-6801-8250,💙PLAYSTATION VS XBOX💚,gun-game
6841-8522-2085,👴🏽WARFARE💥Gun Game ONE SHOT⭐️,gun-game
3649-5068-6830,😎 GUN GAME 🔫 TILTED ONE SHOT,gun-game
7550-3246-8978,1v1 GUN GAME,gun-game
6691-3310-1571,SUPER GUN GAME 🔫 ONE SHOT🎯 ULTRA,gun-game
4791-5596-1353,🏖️ SUMMER ONE SHOT 🎯 GUN GAME 🔫 BOTS,gun-game
2049-9517-4855,GUN GAME A,gun-game
9520-9313-0708,PERU GUN GAME 🎯ONE SHOT,gun-game
2424-4344-7824,MECHANICS TRAINING V5 🎯,edit-course
4859-7673-2109,Ranked Aim Edit Piece & 1v1🎯[Practice],edit-course
5112-1759-8096,🎯Aim Edit Piece & 1v1 Freebuild RANKED,edit-course
2653-4796-4758,🎯 Aim Training Edit Treino de mira 1v1,edit-course
